"Model","Training","Testing"
"Logistic regression",0.754026895226836,0.753110328638498
"Neural network",0.754250527982402,0.75431343403671
"Decision tree",0.779085500378969,0.774117870347248
"Random forest",0.765472934453192,0.761330379946222
"Gradient boosting trees",0.78037423081434,0.774993406621678
